구분번호,발생년월,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령대,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령대,피해운전자 상해정도
2023082300100240,2023년 8월,수요일,부산광역시 사상구 감전동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,승용,여,31-40세,경상
2023082300100326,2023년 8월,수요일,부산광역시 중구 영주동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,61-64세,상해없음,승용,남,41-50세,경상
2023082300100327,2023년 8월,수요일,부산광역시 금정구 남산동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,승용,남,61-64세,경상
2023082300100328,2023년 8월,수요일,부산광역시 사하구 하단동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,65세 이상,상해없음,승용,남,41-50세,경상
2023082300100329,2023년 8월,수요일,부산광역시 사하구 다대동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,51-60세,상해없음,기타불명,남,65세 이상,중상
2023082300100392,2023년 8월,수요일,부산광역시 동래구 명륜동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,31-40세,상해없음,보행자,여,51-60세,경상
2023082300100393,2023년 8월,수요일,부산광역시 부산진구 부전동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,원동기,남,41-50세,상해없음,승합,남,51-60세,상해없음
2023082300100394,2023년 8월,수요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대차 - 기타,차로위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,승용,남,21-30세,경상
2023082300100434,2023년 8월,수요일,부산광역시 중구 대창동1가,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승합,남,51-60세,상해없음,보행자,남,51-60세,부상신고
2023082300100482,2023년 8월,수요일,부산광역시 연제구 연산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,21-30세,경상
2023082300100508,2023년 8월,수요일,부산광역시 중구 신창동2가,경상사고,0,0,1,0,차대차 - 추돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,51-60세,상해없음,이륜,남,41-50세,경상
2023082300100509,2023년 8월,수요일,부산광역시 부산진구 개금동,경상사고,0,0,2,0,차대차 - 추돌,안전거리미확보,젖음/습기,비,단일로 - 기타,승용,남,21-30세,상해없음,승용,여,21-30세,경상
2023082300100510,2023년 8월,수요일,부산광역시 수영구 망미동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,31-40세,상해없음,보행자,남,41-50세,경상
2023082300100539,2023년 8월,수요일,부산광역시 부산진구 부암동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,기타불명,기타불명,기타불명,승용,남,65세 이상,상해없음
2023082300100563,2023년 8월,수요일,부산광역시 동구 범일동,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,단일로 - 기타,승합,남,31-40세,상해없음,보행자,남,31-40세,경상
2023082400100001,2023년 8월,목요일,부산광역시 남구 대연동,부상신고사고,0,0,0,3,차대차 - 추돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,20세 이하,상해없음,승용,남,41-50세,부상신고
2023082400100027,2023년 8월,목요일,부산광역시 부산진구 전포동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,20세 이하,상해없음,승용,남,31-40세,중상
2023082400100051,2023년 8월,목요일,부산광역시 사상구 주례동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,65세 이상,상해없음,보행자,남,65세 이상,중상
2023082400100072,2023년 8월,목요일,부산광역시 강서구 명지동,경상사고,0,0,2,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,남,65세 이상,상해없음,승용,남,51-60세,경상
2023082400100099,2023년 8월,목요일,부산광역시 북구 구포동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,41-50세,상해없음,보행자,남,51-60세,중상
2023082400100136,2023년 8월,목요일,부산광역시 사상구 주례동,부상신고사고,0,0,0,1,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,이륜,남,13-20세,부상신고
2023082400100353,2023년 8월,목요일,부산광역시 해운대구 우동,중상사고,0,1,2,0,차대차 - 기타,안전운전불이행,젖음/습기,흐림,단일로 - 기타,이륜,남,21-30세,경상,승용,여,31-40세,중상
2023082400100354,2023년 8월,목요일,부산광역시 금정구 두구동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로안,화물,남,51-60세,상해없음,승용,남,51-60세,경상
2023082400100391,2023년 8월,목요일,부산광역시 해운대구 우동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,자전거,기타불명,기타불명,기타불명,보행자,여,21-30세,중상
2023082400100392,2023년 8월,목요일,부산광역시 해운대구 재송동,경상사고,0,0,1,0,차대차 - 충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,41-50세,상해없음,승용,여,31-40세,경상
2023082400100394,2023년 8월,목요일,부산광역시 강서구 신호동,경상사고,0,0,4,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세 이상,상해없음,승용,남,31-40세,경상
2023082400100474,2023년 8월,목요일,부산광역시 부산진구 양정동,중상사고,0,1,0,0,차대차 - 기타,신호위반,젖음/습기,비,교차로 - 교차로부근,이륜,남,51-60세,중상,승용,여,21-30세,기타불명
2023082400100514,2023년 8월,목요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,41-50세,상해없음,승용,여,61-64세,경상
2023082400100516,2023년 8월,목요일,부산광역시 기장군 정관읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,승용,남,31-40세,상해없음,보행자,남,41-50세,경상
2023082500100003,2023년 8월,금요일,부산광역시 부산진구 부전동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,이륜,남,31-40세,부상신고,보행자,남,51-60세,상해없음
2023082500100020,2023년 8월,금요일,부산광역시 사상구 주례동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,흐림,교차로 - 교차로부근,승용,여,31-40세,상해없음,승용,남,61-64세,경상
2023082500100104,2023년 8월,금요일,부산광역시 해운대구 좌동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,여,51-60세,상해없음,보행자,여,41-50세,경상
2023082500100105,2023년 8월,금요일,부산광역시 부산진구 범천동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,남,21-30세,상해없음,보행자,여,65세 이상,경상
2023082500100106,2023년 8월,금요일,부산광역시 부산진구 부암동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,61-64세,상해없음,이륜,남,21-30세,중상
2023082500100107,2023년 8월,금요일,부산광역시 사상구 모라동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,51-60세,상해없음,승용,남,31-40세,경상
2023082500100191,2023년 8월,금요일,부산광역시 동래구 명장동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,65세 이상,상해없음,승용,남,65세 이상,경상
2023082500100192,2023년 8월,금요일,부산광역시 부산진구 개금동,경상사고,0,0,2,0,차대차 - 기타,차로위반,건조,맑음,단일로 - 기타,특수,남,61-64세,상해없음,승용,여,31-40세,경상
2023082500100293,2023년 8월,금요일,부산광역시 남구 용호동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,51-60세,상해없음,보행자,남,12세 이하,경상
